name,va,file_offset
internal/abi.(*InterfaceType).IsDirectIface,0x140005800,19968
internal/abi.(*InterfaceType).Key,0x140005820,20000
internal/abi.(*InterfaceType).Kind,0x140005840,20032
internal/abi.(*InterfaceType).Len,0x140005860,20064
internal/abi.(*InterfaceType).MapType,0x140005880,20096
internal/abi.(*InterfaceType).Pointers,0x1400058a0,20128
internal/abi.(*InterfaceType).Size,0x1400058c0,20160
internal/abi.(*InterfaceType).StructType,0x1400058e0,20192
internal/abi.(*InterfaceType).Uncommon,0x140005900,20224
internal/abi.(*PtrType).Align,0x140005980,20352
internal/abi.(*PtrType).ArrayType,0x1400059a0,20384
internal/abi.(*PtrType).ChanDir,0x1400059c0,20416
internal/abi.(*PtrType).Common,0x1400059e0,20448
internal/abi.(*PtrType).ExportedMethods,0x140005a00,20480
internal/abi.(*PtrType).FieldAlign,0x140005a20,20512
internal/abi.(*PtrType).FuncType,0x140005a40,20544
internal/abi.(*PtrType).GcSlice,0x140005a60,20576
internal/abi.(*PtrType).HasName,0x140005b20,20768
internal/abi.(*PtrType).InterfaceType,0x140005b40,20800
internal/abi.(*PtrType).IsDirectIface,0x140005b60,20832
internal/abi.(*PtrType).Key,0x140005b80,20864
internal/abi.(*PtrType).Kind,0x140005ba0,20896
internal/abi.(*PtrType).Len,0x140005bc0,20928
internal/abi.(*PtrType).MapType,0x140005be0,20960
internal/abi.(*PtrType).NumMethod,0x140005c00,20992
internal/abi.(*PtrType).Pointers,0x140005c20,21024
internal/abi.(*PtrType).Size,0x140005c40,21056
internal/abi.(*PtrType).StructType,0x140005c60,21088
internal/abi.(*PtrType).Uncommon,0x140005c80,21120
type:.eq.internal/abi.UncommonType,0x140005d00,21248
type:.eq.internal/abi.RegArgs,0x140005d40,21312
type:.eq.internal/abi.ITab,0x140005d80,21376
internal/runtime/sys.OnesCount64,0x140005dc0,21440
type:.eq.internal/runtime/sys.NotInHeap,0x140005e40,21568
internal/runtime/atomic.(*Int32).Load,0x140005e60,21600
internal/runtime/atomic.(*Int32).Store,0x140005e80,21632
internal/runtime/atomic.(*Int32).CompareAndSwap,0x140005ea0,21664
internal/runtime/atomic.(*Int32).Swap,0x140005ec0,21696
internal/runtime/atomic.(*Int32).Add,0x140005ee0,21728
internal/runtime/atomic.(*Int64).Load,0x140005f00,21760
internal/runtime/atomic.(*Int64).Store,0x140005f20,21792
internal/runtime/atomic.(*Int64).CompareAndSwap,0x140005f40,21824
internal/runtime/atomic.(*Int64).Swap,0x140005f60,21856
internal/runtime/atomic.(*Int64).Add,0x140005f80,21888
internal/runtime/atomic.(*Uint8).Load,0x140005fa0,21920
internal/runtime/atomic.(*Uint8).Store,0x140005fc0,21952
internal/runtime/atomic.(*Uint8).And,0x140005fe0,21984
internal/runtime/atomic.(*Uint8).Or,0x140006000,22016
internal/runtime/atomic.(*Bool).Load,0x140006020,22048
internal/runtime/atomic.(*Bool).Store,0x140006040,22080
internal/runtime/atomic.(*Uint32).Load,0x140006060,22112
internal/runtime/atomic.(*Uint32).LoadAcquire,0x140006080,22144
internal/runtime/atomic.(*Uint32).Store,0x1400060a0,22176
internal/runtime/atomic.(*Uint32).StoreRelease,0x1400060c0,22208
internal/runtime/atomic.(*Uint32).CompareAndSwap,0x1400060e0,22240
internal/runtime/atomic.(*Uint32).CompareAndSwapRelease,0x140006100,22272
internal/runtime/atomic.(*Uint32).Swap,0x140006120,22304
internal/runtime/atomic.(*Uint32).And,0x140006140,22336
internal/runtime/atomic.(*Uint32).Or,0x140006160,22368
internal/runtime/atomic.(*Uint32).Add,0x140006180,22400
internal/runtime/atomic.(*Uint64).Load,0x1400061a0,22432
internal/runtime/atomic.(*Uint64).Store,0x1400061c0,22464
internal/runtime/atomic.(*Uint64).CompareAndSwap,0x1400061e0,22496
internal/runtime/atomic.(*Uint64).Swap,0x140006200,22528
internal/runtime/atomic.(*Uint64).Add,0x140006220,22560
internal/runtime/atomic.(*Uintptr).Load,0x140006240,22592
internal/runtime/atomic.(*Uintptr).LoadAcquire,0x140006260,22624
internal/runtime/atomic.(*Uintptr).Store,0x140006280,22656
internal/runtime/atomic.(*Uintptr).StoreRelease,0x1400062a0,22688
internal/runtime/atomic.(*Uintptr).CompareAndSwap,0x1400062c0,22720
internal/runtime/atomic.(*Uintptr).Swap,0x1400062e0,22752
internal/runtime/atomic.(*Uintptr).Add,0x140006300,22784
internal/runtime/atomic.(*UnsafePointer).Load,0x140006320,22816
internal/runtime/atomic.(*UnsafePointer).StoreNoWB,0x140006340,22848
internal/runtime/atomic.(*UnsafePointer).Store,0x140006360,22880
internal/runtime/atomic.(*UnsafePointer).CompareAndSwapNoWB,0x1400063a0,22944
internal/runtime/atomic.(*UnsafePointer).CompareAndSwap,0x1400063c0,22976
internal/runtime/atomic.(*noCopy).Lock,0x140006420,23072
internal/runtime/atomic.(*noCopy).Unlock,0x140006440,23104
internal/runtime/atomic.(*Uint64).LoadAcquire,0x140006460,23136
internal/runtime/atomic.(*Uint64).StoreRelease,0x140006480,23168
type:.eq.internal/runtime/atomic.Int64,0x1400064a0,23200
type:.eq.internal/runtime/atomic.Uint64,0x1400064c0,23232
internal/runtime/maps.cloneGroup,0x1400064e0,23264
internal/runtime/maps.NewMap,0x1400066c0,23744
internal/runtime/maps.(*Map).installTableSplit,0x140006900,24320
internal/runtime/maps.(*Map).Used,0x140006b80,24960
internal/runtime/maps.(*Map).Get,0x140006ba0,24992
internal/runtime/maps.(*Map).getWithKey,0x140006be0,25056
internal/runtime/maps.(*Map).getWithoutKey,0x140006d00,25344
internal/runtime/maps.(*Map).getWithKeySmall,0x140006e20,25632
internal/runtime/maps.(*Map).Put,0x140006f80,25984
internal/runtime/maps.(*Map).PutSlot,0x140007000,26112
internal/runtime/maps.(*Map).putSlotSmall,0x1400071c0,26560
internal/runtime/maps.(*Map).growToSmall,0x1400074a0,27296
internal/runtime/maps.(*Map).growToTable,0x140007520,27424
internal/runtime/maps.(*Map).Delete,0x1400076c0,27840
internal/runtime/maps.(*Map).deleteSmall,0x140007860,28256
internal/runtime/maps.(*Map).Clear,0x140007a40,28736
internal/runtime/maps.(*Map).clearSmall,0x140007b80,29056
internal/runtime/maps.(*Map).Clone,0x140007c00,29184
internal/runtime/maps.mapKeyError2,0x140007ea0,29856
internal/runtime/maps.unhashableTypeError.RuntimeError,0x1400080a0,30368
internal/runtime/maps.unhashableTypeError.Error,0x1400080c0,30400
internal/runtime/maps.(*Map).putSlotSmallFast32,0x140008120,30496
internal/runtime/maps.(*Map).putSlotSmallFast64,0x140008280,30848
internal/runtime/maps.(*Map).putSlotSmallFastPtr,0x1400083e0,31200
internal/runtime/maps.(*Map).getWithoutKeySmallFastStr,0x140008560,31584
internal/runtime/maps.(*Map).putSlotSmallFastStr,0x140008780,32128
internal/runtime/maps.newTable,0x1400089c0,32704
internal/runtime/maps.(*table).reset,0x140008ac0,32960
internal/runtime/maps.(*table).Used,0x140008be0,33248
internal/runtime/maps.(*table).Get,0x140008c00,33280
internal/runtime/maps.(*table).getWithKey,0x140008c80,33408
internal/runtime/maps.(*table).getWithoutKey,0x140008e60,33888
internal/runtime/maps.(*table).PutSlot,0x140009040,34368
internal/runtime/maps.(*table).uncheckedPutSlot,0x140009480,35456
internal/runtime/maps.(*table).Delete,0x140009660,35936
internal/runtime/maps.(*table).pruneTombstones,0x140009960,36704
internal/runtime/maps.(*table).Clear,0x140009ce0,37600
internal/runtime/maps.(*Iter).Init,0x140009e80,38016
internal/runtime/maps.(*Iter).Initialized,0x140009fc0,38336
internal/runtime/maps.(*Iter).Map,0x140009fe0,38368
internal/runtime/maps.(*Iter).Key,0x14000a000,38400
internal/runtime/maps.(*Iter).Elem,0x14000a020,38432
internal/runtime/maps.(*Iter).grownKeyElem,0x14000a040,38464
internal/runtime/maps.(*Iter).Next,0x14000a140,38720
internal/runtime/maps.(*table).rehash,0x14000a7c0,40384
internal/runtime/maps.(*table).split,0x14000a820,40480
internal/runtime/maps.(*table).grow,0x14000aa40,41024
internal/runtime/maps.(*table).clone,0x14000ac20,41504
internal/runtime/maps.(*table).Print,0x14000ad60,41824
runtime.mapaccess1,0x14000b180,42880
runtime.mapaccess2,0x14000b440,43584
runtime.mapassign,0x14000b740,44352
runtime.mapaccess1_fast32,0x14000bd00,45824
runtime.mapaccess2_fast32,0x14000bf20,46368
runtime.mapassign_fast32,0x14000c140,46912
runtime.mapdelete_fast32,0x14000c4e0,47840
runtime.mapaccess1_fast64,0x14000c540,47936
runtime.mapaccess2_fast64,0x14000c740,48448
runtime.mapassign_fast64,0x14000c960,48992
runtime.mapassign_fast64ptr,0x14000cd00,49920
runtime.mapdelete_fast64,0x14000d080,50816
runtime.mapaccess1_faststr,0x14000d100,50944
runtime.mapaccess2_faststr,0x14000d3c0,51648
runtime.mapassign_faststr,0x14000d680,52352
runtime.mapdelete_faststr,0x14000dc20,53792
internal/runtime/maps.(*unhashableTypeError).Error,0x14000dca0,53920
internal/runtime/maps.(*unhashableTypeError).RuntimeError,0x14000dd00,54016
type:.eq.internal/runtime/maps.Map,0x14000dd20,54048
type:.eq.internal/runtime/maps.table,0x14000dd80,54144
type:.eq.internal/runtime/maps.Iter,0x14000dde0,54240
type:.eq.internal/godebugs.Info,0x14000de60,54368
internal/runtime/gc/scan.init,0x14000df40,54592
internal/runtime/gc/scan.ScanSpanPackedAVX512,0x14000df80,54656
expandAVX512_1,0x14000e040,54848
expandAVX512_2,0x14000e060,54880
expandAVX512_3,0x14000e0c0,54976
expandAVX512_4,0x14000e140,55104
expandAVX512_6,0x14000e1a0,55200
expandAVX512_8,0x14000e220,55328
expandAVX512_10,0x14000e280,55424
expandAVX512_12,0x14000e300,55552
expandAVX512_14,0x14000e380,55680
expandAVX512_16,0x14000e460,55904
expandAVX512_18,0x14000e4c0,56000
expandAVX512_20,0x14000e5a0,56224
expandAVX512_22,0x14000e620,56352
expandAVX512_24,0x14000e700,56576
expandAVX512_26,0x14000e7e0,56800
expandAVX512_28,0x14000e8c0,57024
expandAVX512_30,0x14000e9a0,57248
expandAVX512_32,0x14000ea80,57472
expandAVX512_36,0x14000eae0,57568
expandAVX512_40,0x14000eb60,57696
expandAVX512_44,0x14000ec40,57920
expandAVX512_48,0x14000ed20,58144
expandAVX512_52,0x14000eda0,58272
expandAVX512_56,0x14000ee80,58496
expandAVX512_60,0x14000ef00,58624
expandAVX512_64,0x14000efe0,58848
internal/runtime/gc/scan.FilterNilAVX512,0x14000f040,58944
internal/runtime/gc/scan.scanSpanPackedAVX512,0x14000f100,59136
internal/strconv.special,0x14000f220,59424
internal/strconv.(*decimal).set,0x14000f3a0,59808
internal/strconv.readFloat,0x14000f5c0,60352
internal/strconv.(*decimal).floatBits,0x14000fae0,61664
internal/strconv.atof64exact,0x14000fe00,62464
internal/strconv.atofHex,0x14000ff60,62816
internal/strconv.atof32,0x140010160,63328
internal/strconv.atof64,0x140010560,64352
internal/strconv.ParseFloat,0x140010820,65056
internal/strconv.parseFloatPrefix,0x1400108a0,65184
internal/strconv.eiselLemire64,0x140010900,65280
internal/strconv.eiselLemire32,0x140010ac0,65728
internal/strconv.Error.Error,0x140010ca0,66208
internal/strconv.ParseUint,0x140010d00,66304
internal/strconv.ParseInt,0x140011000,67072
internal/strconv.Atoi,0x1400111c0,67520
internal/strconv.underscoreOK,0x1400112c0,67776
internal/strconv.AppendComplex,0x1400113c0,68032
internal/strconv.(*decimal).Assign,0x140011620,68640
internal/strconv.rightShift,0x140011740,68928
internal/strconv.leftShift,0x140011920,69408
internal/strconv.(*decimal).Shift,0x140011b20,69920
internal/strconv.(*decimal).Round,0x140011be0,70112
internal/strconv.(*decimal).RoundedInteger,0x140011d00,70400
internal/strconv.genericFtoa,0x140011dc0,70592
internal/strconv.bigFtoa,0x1400123e0,72160
internal/strconv.formatDigits,0x140012800,73216
internal/strconv.roundShortest,0x140012a40,73792
internal/strconv.fmtE,0x140012f20,75040
internal/strconv.fmtF,0x140013400,76288
internal/strconv.fmtB,0x140013740,77120
internal/strconv.fmtX,0x140013880,77440
internal/strconv.dboxFtoa,0x140013f80,79232
internal/strconv.dboxFtoa64,0x140014000,79360
internal/strconv.dboxFtoa32,0x140014560,80736
internal/strconv.dboxDigits,0x140014a40,81984
internal/strconv.umul128Upper64,0x140014b20,82208
internal/strconv.umul192Upper128,0x140014b80,82304
internal/strconv.fixedFtoa,0x140014c00,82432
internal/strconv.FormatUint,0x140014fe0,83424
internal/strconv.FormatInt,0x1400150e0,83680
internal/strconv.AppendInt,0x140015220,84000
internal/strconv.AppendUint,0x1400152e0,84192
internal/strconv.formatBits,0x140015500,84736
internal/strconv.formatBase10,0x140015860,85600
internal/strconv.trimZeros,0x140015a40,86080
internal/strconv.(*Error).Error,0x140015b20,86304
internal/runtime/syscall/windows.StdCall,0x140015bc0,86464
internal/runtime/syscall/windows.asmstdcall,0x140015be0,86496
internal/stringslite.Index,0x140015ca0,86688
internal/stringslite.Cut,0x1400162c0,88256
internal/stringslite.Clone,0x1400163a0,88480
internal/bytealg.IndexRabinKarp[go.shape.string],0x140016440,88640
internal/runtime/exithook.Run,0x140016680,89216
internal/runtime/exithook.Run.deferwrap2,0x140016820,89632
